;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;motor
32;Fiat Toro  T270 Freedom;Flex;127800.0;2021;25.792;Prata;1;Guarapuava;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;1300.0
33;Toyota Corolla  XEi CVT;Flex;133570.0;2022;51.141;Preto;1;Pelotas;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2000.0
34;Volkswagen Jetta  250 TSI R-Line;Flex;134990.0;2020;26.222;Cinza;1;São Carlos;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1400.0
35;Hyundai Tucson  T-GDI GLS;Gasolina;139510.0;2021;51.336;Branco;1;Cuiabá;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1600.0
36;Volkswagen Tiguan Allspace  250 TSI Comfortline;Flex;139990.0;2019;74.46;Preto;1;Campinas;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1400.0
37;Volkswagen Taos  250 TSI Comfortline;Flex;148350.0;2021;31.899;Cinza;1;Vitória da Conquista;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1400.0
38;Jeep Compass  TDI Trailhawk 4WD;Diesel;157630.0;2020;51.088;Branco;1;Pato Branco;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;2000.0
39;Toyota Corolla Cross  HEV XRV CVT;Híbrido / Elétrico;166380.0;2021;32.584;Prata;1;Vitória da Conquista;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1800.0
40;BMW I3 BEV Full;Híbrido / Elétrico;217300.0;2020;17.381;Preto;1;Mogi das Cruzes;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;
41;Mitsubishi Pajero Sport  DI-D HPE 4WD;Álcool;284990.0;2021;39.359;Cinza;1;São José;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;2400.0
42;Hyundai HB20  Sense;Diesel;67200.0;2022;33.31;Branco;0;Araraquara;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1000.0
43;Peugeot 208  Active;Flex;84130.0;2022;43.059;Cinza;1;Araraquara;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1600.0
44;Citroën C4 Cactus  Feel Business;Flex;101370.0;2022;49.989;Cinza;1;Araraquara;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1600.0
45;Hyundai HB20  Evolution;Flex;63190.0;2020;67.278;Branco;0;Ponta Grossa;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1000.0
46;Chevrolet Cobalt LTZ;Flex;65990.0;2018;64.5;Preto;0;Mossoró;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800.0
47;Hyundai HB20  Vision;Flex;65990.0;2022;35.966;Prata;0;Natal;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1000.0
48;Citroën C4 Cactus  Feel;Flex;85000.0;2021;52.392;Branco;1;Londrina;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1600.0
49;Toyota Corolla  XEi CVT;Flex;124020.0;2021;47.829;Preto;1;Cuiabá;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;2000.0
50;Renault Kwid  Zen;Flex;50180.0;2021;68.846;Branco;0;Juazeiro do Norte;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1000.0
51;Fiat Grand Siena  Attractive;Flex;59800.0;2021;26.165;Vermelho;0;Itajaí;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1400.0
