modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Nissan Livina X-Gear SL,Flex,36900.0,2012,114.123,Preto,1,Curitiba,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1800.0
Fiat Uno Sporting,Flex,29977.0,2011,130.254,Vermelho,0,Niterói,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1400.0
Chevrolet Vectra Elegance,Flex,36900.0,2009,135.6,Preto,0,São Paulo,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,2000.0
Volkswagen Fox City,MultiFlex (Alc,27900.0,2009,92.0,Preto,0,Barra Mansa,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1000.0
Peugeot 207 SW Escapade,Flex,19900.0,2009,186.219,Prata,0,Curitiba,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1600.0
Nissan Sentra S,Gasolina,30900.0,2007,,Prata,1,Jacareí,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,2000.0
CAOA Chery QQ,Gasolina,18890.0,2011,68.0,Prata,0,Guarulhos,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1100.0
Fiat Grand Siena,Flex,56900.0,2021,20.878,Branco,0,Goiânia,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 Exclusive,Flex,25900.0,2009,143.0,Vermelho,0,Guarulhos,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1400.0
Chevrolet Vectra GT,Flex,36900.0,2008,100.0,Prata,0,Chapecó,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,2000.0
CAOA Chery QQ Act,Flex,35990.0,2017,113.0,Branco,0,Brasília,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1000.0
Chevrolet Prisma  LT,Flex,29900.0,2012,150.0,Preto,0,Penha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Celta LT,Flex,33900.0,2014,166.0,Prata,0,São Paulo,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox  TEC,Flex,38900.0,2014,77.0,Branco,0,Mauá,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Gol  TEC,Flex,38900.0,2014,116.202,Preto,0,Batatais,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Ford Ka,Flex,24900.0,2012,88.0,Branco,0,Cascavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox  TEC,Flex,36900.0,2014,98.0,Cinza,0,São Paulo,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
