modelo,combustivel,preco,ano,km,cor,cambio,cidade,airbag motorista,freios ABS,airbag passageiro,ar-condicionado,direção elétrica,volante com regulagem de altura,travas elétricas,cd player com MP3,entrada USB,vidros elétricos dianteiros,limajuste de alturap. traseiro,desemb. traseiro,alarme,ajuste de altura,distribuição eletrônica de frenagem,controle de tração,retrovisores elétricos,piloto automático,Kit Multimídia,bancos de couro,limp. traseiro,motor
Volkswagen Fox Black,Flex,32900.0,2009,109.208,Preto,0,São Paulo,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1000.0
Nissan March,Flex,32900.0,2012,300.0,Preto,0,Campo Grande,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Clio Expression,Flex,34700.0,2014,50.0,Prata,0,São Paulo,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Fiat Uno Way,Flex,29900.0,2013,64.7,Vermelho,0,Araucária,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Siena Fire,Flex,29900.0,2011,143.0,Preto,0,Bagé,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox  TEC  BlueMotion,Flex,37900.0,2013,154.0,Cinza,0,Curitiba,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1000.0
Fiat Uno Way,Flex,32990.0,2010,97.345,Verde,0,Bragança Paulista,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1400.0
Peugeot 307 Hatch. Presence Pack,Flex,26900.0,2010,153.0,Prata,0,Cocal do Sul,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1600.0
Honda Fit LX,GNV,36900.0,2009,102.0,Preto,0,Rio de Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Agile LTZ,Flex,34990.0,2012,138.0,Branco,0,Campinas,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1400.0
Chevrolet Celta LT,Flex,32000.0,2014,149.771,Preto,0,Rondonópolis,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Gol  VHT City,Flex,33900.0,2013,134.4,Preto,0,Caicó,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1600.0
Citroën Aircross GLX,Flex,37990.0,2013,94.0,Preto,0,São Paulo,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Fiat Uno Drive  Firefly,Flex,36900.0,2017,200.0,Prata,0,São João de Meriti,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Citroën C4 Pallas GLX,Flex,27900.0,2009,114.0,Prata,0,Taubaté,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2000.0
Chevrolet Meriva Expression,Flex,26900.0,2009,155.0,Cinza,1,São Paulo,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1800.0
Ford Fiesta Hatch SE  RoCam,Flex,31990.0,2013,138.0,Prata,0,Santo André,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol  TEC City,Flex,33900.0,2013,97.655,Prata,0,Aparecida de Goiânia,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Voyage  Total Flex,Flex,38900.0,2012,88.0,Preto,0,Mogi Guaçu,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox  VHT,Flex,32990.0,2011,113.0,Preto,1,São Paulo,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Renault Sandero GT Line,Flex,32900.0,2012,215.0,Preto,0,Parnamirim,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Chevrolet Classic LS VHC E,Flex,28900.0,2011,140.0,Cinza,0,Joinville,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 Exclusive,Flex,28700.0,2011,154.0,Preto,0,Campinas,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1400.0
Renault Logan Expression,Flex,27800.0,2011,98.4,Prata,0,Belo Horizonte,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1000.0
Citroën C4 GLX,Flex,29800.0,2011,175.0,Prata,0,Palhoça,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Volkswagen Gol,Flex,33490.0,2010,132.346,Prata,0,Campinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Chevrolet Astra Sedan Advantage,Flex,27800.0,2006,212.534,Prata,0,Mirassol,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2000.0
CAOA Chery QQ Act,Flex,36800.0,2018,50.935,Branco,0,Florianópolis,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1000.0
Chevrolet Vectra GT,Flex,32900.0,2008,176.2,Preto,0,Volta Redonda,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.0
Chevrolet Classic LS VHC E,Flex,26800.0,2011,132.21,Branco,0,Campo Grande,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Ford EcoSport Ecosport XLT,Flex,35000.0,2009,135.836,Prata,0,Barretos,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1600.0
Volkswagen Gol  TEC,Flex,37900.0,2014,157.111,Prata,0,Brasília,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Attractive,Flex,38900.0,2013,83.0,Prata,0,João Pessoa,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1400.0
Renault Kwid  Zen,Flex,53270.0,2021,38.442,Branco,0,Palmas,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Palio ELX,Flex,29900.0,2007,140.185,Vermelho,0,Vila Velha,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1400.0
Fiat Palio Fire,Flex,26990.0,2014,159.0,Preto,0,Campinas,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 Picasso GLX,Flex,37900.0,2012,135.0,Preto,0,São Paulo,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1500.0
Ford EcoSport Ecosport XLT,Flex,37000.0,2008,198.0,Preto,0,Itumbiara,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Fiat Siena EL,Flex,35900.0,2014,110.0,Prata,0,Campo Grande,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Ford EcoSport Ecosport Freestyle,Flex,36900.0,2009,128.0,Dourado,0,Brasília,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1600.0
Chevrolet Agile LTZ,Flex,33900.0,2011,102.374,Preto,0,São Paulo,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1400.0
Volkswagen SpaceFox Plus,Flex,32900.0,2009,134.819,Vermelho,0,São José dos Pinhais,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1600.0
Chevrolet Agile LTZ,Flex,30900.0,2011,200.792,Cinza,0,São Paulo,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1400.0
Hyundai Tucson GL,Gasolina,36900.0,2009,129.718,Prata,1,Ribeirão Preto,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2000.0
Volkswagen Fox  VHT,Flex,33900.0,2012,161.144,Vermelho,0,Brasília,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1000.0
Fiat Strada Fire,Flex,28900.0,2008,300.0,Branco,0,Alvorada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen Fox,Flex,29990.0,2009,128.0,Vermelho,0,Mogi das Cruzes,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1000.0
Volkswagen Fusca,Gasolina,23900.0,1986,,Branco,0,Bauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fiat Strada Fire,Flex,32000.0,2011,168.922,Branco,0,Blumenau,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1400.0
Chevrolet Prisma Maxx,Flex,28900.0,2009,118.35,Vermelho,0,São Paulo,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen SpaceFox Sportline,Flex,34900.0,2010,127.0,Cinza,0,São José dos Pinhais,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Fiat Idea Adventure  Dualogic,Flex,28900.0,2010,129.83,Preto,1,Brasília,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1800.0
Hyundai HB20  Vision,Flex,61700.0,2020,55.53,Branco,0,Recife,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Ford New Fiesta Sedan  SE PowerShift,Flex,37900.0,2013,130.0,Prata,1,Pelotas,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1600.0
Ford Fiesta Hatch,Flex,28999.0,2010,159.332,Vermelho,0,São José do Rio Preto,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Honda Fit LX,Flex,38490.0,2010,189.0,Prata,0,Campinas,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1400.0
Volkswagen Up!  E-Flex take up!,Flex,34900.0,2014,128.0,Branco,0,Bauru,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Peugeot 207 Hatch Active,Flex,27900.0,2013,104.121,Branco,0,Três Lagoas,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1400.0
Ford Fiesta Hatch Rocam,Flex,33900.0,2012,108.0,Preto,0,São Paulo,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1600.0
Volkswagen Fox,Flex,29800.0,2009,138.889,Preto,0,Cascavel,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox,Flex,27990.0,2009,96.0,Vermelho,0,São Mateus,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1000.0
Volkswagen CrossFox,Flex,34900.0,2006,147.0,Prata,0,São Paulo,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1600.0
Fiat Siena EL,Flex,32900.0,2012,174.0,Prata,0,São José dos Campos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1400.0
Volkswagen Fox  VHT Prime,Flex,37900.0,2012,105.34,Prata,0,Rio Verde,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1600.0
Renault Logan Dynamique,Flex,38900.0,2014,121.91,Prata,0,Belo Horizonte,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1600.0
Renault Clio Expression,Flex,37990.0,2014,56.0,Branco,0,Florianópolis,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Citroën C4 GLX,Flex,32900.0,2011,101.0,Preto,0,Farroupilha,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1600.0
Fiat Punto Attractive,Flex,33900.0,2011,140.0,Preto,0,São Paulo,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1400.0
Honda Fit EX,Gasolina,33890.0,2007,250.0,Dourado,0,São Paulo,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1500.0
Fiat Palio Fire,Flex,29900.0,2011,189.543,Cinza,0,Fortaleza,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Sandero Expression,Flex,37900.0,2013,83.9,Cinza,0,Jaraguá do Sul,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1600.0
Fiat Palio Attractive  Evo,Flex,37900.0,2015,148.0,Branco,0,Araras,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1000.0
Renault Clio Expression,Flex,30900.0,2013,109.777,Branco,0,Araucária,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Volkswagen Gol  TEC Trendline,Flex,38900.0,2014,187.0,Prata,0,Arujá,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1000.0
Ford EcoSport Ecosport XLT,Flex,36990.0,2009,88.0,Prata,1,Campinas,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2000.0
Fiat Palio Fire,Flex,33899.0,2013,110.0,Vermelho,0,Florianópolis,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Classic LS VHC E,Flex,25900.0,2011,300.0,Branco,0,Curitiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Sandero Expression,Flex,29900.0,2012,97.0,Preto,0,Rio de Janeiro,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Fiat Punto Essence,Flex,37900.0,2013,144.601,Branco,0,Hortolândia,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1600.0
Chevrolet Meriva Premium,Flex,29500.0,2009,147.115,Cinza,1,Taubaté,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1800.0
Chevrolet Classic LS VHC E,Flex,26800.0,2011,132.21,Branco,0,Campo Grande,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Citroën C3 Origine,Flex,36900.0,2013,98.0,Prata,0,Nova Friburgo,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1500.0
Chevrolet Classic LS VHC E,Flex,29500.0,2012,90.0,Prata,0,José Bonifácio,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1000.0
Ford Fiesta Hatch  SE Plus  RoCam,Flex,35900.0,2013,89.101,Branco,0,São Paulo,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1600.0
Nissan Versa  SL,Flex,38900.0,2013,108.3,Cinza,0,Belo Horizonte,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1600.0
Renault Sandero Expression,Flex,35900.0,2014,60.0,Vermelho,0,Petrópolis,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Volkswagen Gol,Flex,25900.0,2012,84.0,Preto,0,Campo Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Nissan March  S,Flex,36900.0,2013,135.9,Prata,0,Indaiatuba,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1600.0
Citroën C4 GLX,Flex,32900.0,2011,165.361,Prata,1,Novo Hamburgo,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,2000.0
Citroën C3 Origine,Flex,34500.0,2013,90.282,Branco,0,São Luís,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1500.0
Volkswagen CrossFox,Flex,29900.0,2007,180.418,Preto,0,São José dos Campos,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Fiat Mobi  Like,Flex,57600.0,2022,32.511,Prata,0,João Pessoa,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Classic LS VHC E,Flex,28000.0,2012,161.757,Cinza,0,Delmiro Gouveia,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox,Flex,32500.0,2010,90.427,Prata,0,São Bernardo do Campo,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1000.0
Chevrolet Celta LT,Flex,30899.0,2012,140.7,Prata,0,Suzano,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Ford Ka,Flex,25800.0,2008,192.909,Preto,0,São José do Rio Preto,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1600.0
Renault Sandero Expression,Flex,30990.0,2014,150.0,Prata,0,Fortaleza,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox  VHT I-Motion,Flex,37990.0,2011,130.5,Preto,1,Vila Velha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Chevrolet Cobalt LT,Flex,36990.0,2012,179.0,Branco,0,Rio Claro,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1400.0
Ford EcoSport Ecosport XLT,Flex,34900.0,2009,150.0,Prata,1,Ribeirão Preto,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1600.0
Jeep Renegade  T270 Longitude,Flex,136730.0,2022,30.445,Cinza,1,Campinas,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1300.0
Fiat Palio ELX,Flex,25900.0,2007,131.0,Verde,0,Rio Grande,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Chevrolet Montana LS,Flex,37900.0,2012,161.0,Branco,0,São Paulo,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1400.0
Volkswagen Gol  TEC City,Flex,34800.0,2013,131.417,Prata,0,São Paulo,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1000.0
Volkswagen SpaceFox,Flex,28900.0,2008,166.0,Prata,0,São José dos Campos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Ford Ka,Flex,26900.0,2013,65.3,Branco,0,São Pedro da Aldeia,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Saveiro,Flex,35800.0,2010,138.0,Prata,0,Catanduva,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
Hyundai Tucson GL,Gasolina,38900.0,2011,167.345,Prata,0,Brasília,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.0
Ford Fiesta Hatch,Flex,28900.0,2011,120.0,Preto,0,Brasília,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1600.0
Fiat Palio Fire,Flex,31990.0,2015,144.0,Branco,0,Curitiba,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1000.0
Chevrolet Cobalt LT,Flex,33299.0,2013,68.247,Azul,0,Rio de Janeiro,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1400.0
Renault Clio Expression,Flex,36900.0,2015,85.0,Vermelho,0,Campinas,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
Fiat Siena Fire,Flex,24900.0,2007,158.68,Preto,0,Bauru,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Attractive,Flex,36990.0,2012,162.761,Preto,0,Campo Grande,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1400.0
Chevrolet Celta LT,Flex,33900.0,2013,68.0,Branco,0,Manaus,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1000.0
CAOA Chery Tiggo,Gasolina,27900.0,2011,131.0,Branco,0,São José dos Pinhais,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,2000.0
Citroën C3 Picasso GL,Flex,37900.0,2012,154.0,Preto,0,São José dos Campos,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1500.0
Volkswagen Voyage   TEC Total Flex,Flex,37900.0,2012,96.303,Branco,0,Ribeirão Preto,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1000.0
Chevrolet Cobalt LT,Flex,33299.0,2013,68.247,Azul,0,Nova Iguaçu,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1400.0
Volkswagen Gol,Flex,27900.0,2011,155.0,Vermelho,0,Sorocaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Renault Clio Expression,Flex,36990.0,2015,124.0,Branco,0,Campinas,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Fox  VHT,Flex,36900.0,2011,116.0,Prata,0,São José,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1000.0
Nissan March  SV,Flex,37990.0,2013,100.0,Prata,0,Piracicaba,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1600.0
Renault Clio Expression,Flex,29900.0,2014,92.456,Branco,0,Araucária,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1000.0
Fiat Palio Attractive,Flex,36890.0,2012,141.114,Preto,0,São Paulo,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1400.0
Fiat Palio Attractive,Flex,37800.0,2013,71.0,Preto,0,Serra,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1400.0
Fiat Mobi Evo Easy,Flex,36900.0,2018,85.0,Vermelho,0,Americana,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Celta Spirit  VHCE,Flex,26500.0,2010,145.0,Vermelho,0,Rio Branco,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1000.0
Ford Fiesta Sedan,Flex,33900.0,2010,168.05,Cinza,0,Cascavel,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.0
CAOA Chery QQ Look,Flex,38900.0,2017,32.0,Prata,0,Porto Velho,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,27890.0,2013,146.0,Vermelho,0,Belo Horizonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Prisma Maxx,Flex,29990.0,2010,140.0,Preto,0,São Bernardo do Campo,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1400.0
Renault Sandero Privilège,Flex,26790.0,2008,154.923,Prata,0,Mogi das Cruzes,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1600.0
Fiat Idea ELX,Flex,25900.0,2009,150.0,Prata,0,Mirassol,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1400.0
CAOA Chery QQ Act,Flex,35879.0,2018,90.0,Branco,0,São José dos Campos,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1000.0
Chevrolet Vectra Elite,Flex,36900.0,2008,192.0,Cinza,1,São José do Rio Preto,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,2400.0
Renault Logan Expression,Flex,28500.0,2011,166.0,Cinza,1,Bauru,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1600.0
Citroën C3 GLX,Flex,25900.0,2011,147.0,Vermelho,0,Belo Horizonte,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1400.0
Fiat Palio Fire,Flex,26900.0,2011,130.0,Preto,0,Bauru,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1000.0
Ford Fiesta Hatch Rocam,Flex,29900.0,2012,140.412,Prata,0,Várzea Grande,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1000.0
Volkswagen Fox Plus,Flex,28900.0,2008,143.152,Prata,1,São Paulo,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1000.0
Nissan Livina SL,Flex,36900.0,2011,111.186,Prata,1,Santo André,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1800.0
Fiat Uno Vivace,Flex,35990.0,2016,62.359,Branco,0,Rio de Janeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
Peugeot 207 Hatch XR,Flex,22900.0,2009,230.0,Preto,0,São José dos Campos,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1400.0
Fiat Uno Way,Flex,36900.0,2014,79.0,Vermelho,0,Rio de Janeiro,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1000.0
Fiat Palio Fire,Flex,29000.0,2010,137.0,Cinza,0,São Bernardo do Campo,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Volkswagen Gol,Flex,34900.0,2013,97.0,Branco,0,São Paulo,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Corsa Sedan,Gasolina,21900.0,2004,233.982,Preto,0,Jundiaí,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
Chevrolet Meriva Premium,Flex,27900.0,2009,127.0,Preto,1,Ribeirão Pires,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1800.0
Volkswagen Fox  TEC,Flex,34900.0,2012,87.0,Prata,0,Joinville,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1000.0
Volkswagen Fox,Flex,32900.0,2010,149.122,Preto,0,Ponta Grossa,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1000.0
Fiat Palio Weekend Trekking,Flex,29900.0,2008,99.999,Vermelho,0,Porto Alegre,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1400.0
Fiat Palio Attractive,Flex,34900.0,2011,131.27,Cinza,0,Canoas,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1400.0
Fiat Palio Fire,Flex,26900.0,2010,140.0,Azul,0,Mogi das Cruzes,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1000.0
